ID;description
3000436;CONTROL DE PLAGAS - PIAD BMO
3000437;MUESTREOS HS TECNICO CONTEMPLAR 2 TECNIC
3000438;CONTROL DE PLAGAS - BATERIAS
3000439;CARGO BASICO 5000 PSI
3000440;CAMBIO MANGUERA CON TOBERA EXTINTOR CO2
3000441;ARMADO DE BOMBA PROFUNDIDAD API
3000442;CONTROL DE PLAGAS - BATERIA 1 BP
3000443;FLETE X BULTO HASTA 15 KG
3000444;MX-666-1 - DESEMULSIONANTE CAMPO
3000445;MX-518-5 RUPTOR TOTAL PTL
3000446;ALQUILER MENSUAL OFICINAS BS.AS
3000447;REMIS CIPO - CENTE
3000448;SERVICIO DE PLOTEO DE PLANOS TAMANO A1
3000449;REALIZACION DE INFORMES AMBIENTALES (IA)
3000450;TRASLADO PARA REALIZAR LOS TRABAJOS
3000451;MANTENIMIENTO MOTOR ELECTRICO
3000452;MANTENIMIENTO DE EQUIPOS ELECTRICOS
3000453;CONTROL DE PLAGAS - EMC-07
3000454;SERVICIO TECNICO TERA OILERS PLANTAS
3000455;LOCACION DE BOOSTER T4
3000456;ALQUILER DE TRAILER
3000457;TELAS DE ZARANDA MESH 230
3000458;DTM DE 15 KM A 25 KM
3000459;TARIFA LUMP SUM CASING RUNNING 7'
3000460;TARIFA LUMP CASING WHILE DRILLING 9 5/8'
3000461;PROVISION ANILLO R-27 N/P REF012
3000462;REPARACION ROSCA 6 5/8
3000463;UNIDAD FRACTURADOR ADICIONAL
3000464;COILED TUBING P/REPARACION
3000465;GASTOS ADICIONALES PERFILAJE
3000466;PROVISION ANILLO R-53 N/P REF020
3000467;PROVISION ANILLO BX-152 N/P REF023
3000468;DÍA STAND BY
3000469;12 02 TAPON TPR1 5 1/2 AD ADIC P/H OP.C
3000470;SERVICIO DE PERFILAJE A POZO ABIERTO
3000471;HERRAMIENTAS DE FONDO - MENORES
3000472;PROVISION CABLE COAXIAL BELDEN 9913
3000473;HORA DE TORNO GRANDE
3000474;PROVISION ACERO SAE 4140 NORMALIZADO
3000475;SUBESTACION DE MEDIA A BAJA TENSION
3000476;REPARACION INTEGRAL DE ESCAPE
3000477;ANALISIS COMPLETO DE AGUA
3000478;PROVISION MICROFONO DE PALMA MOTOROLA
3000479;MUESTREOS EXTRACCION DE MUESTRA LIQUIDA
3000480;PINTADO EXTERIOR DE TANQUES
3000481;COSTO POR HORA DE OPERACION
3000482;CONTROL DE PLAGAS - COMPLED GAS
3000483;CONTROL DE PLAGAS - PIAD EL CARACOL
3000484;WC-7515 - AGENTE DE FLOTACION
3000485;12 02 TAPON TPR1 5 1/2 BAS 12HS OP.C
